umap_x,umap_y,tsne_x,tsne_y
30.799934,9.516642,21.085817,3.116268
30.871164,9.518801,21.073795,3.0924048
30.884632,9.512307,21.050299,3.0425925
30.890482,9.490096,21.010796,2.9432817
30.838531,9.548697,20.961637,2.7821589
30.796034,9.632569,20.888168,2.5324867
30.788706,9.656754,20.758244,2.1039257
11.539953,-15.402625,12.065384,-10.368794
11.529643,-15.39937,12.060149,-10.369878
11.543774,-15.391716,12.049332,-10.372407
11.482567,-15.355028,12.026316,-10.380347
11.543834,-15.417568,11.9739,-10.399607
11.457211,-15.483887,11.847468,-10.466441
11.524841,-15.434908,11.513111,-10.580143
11.77004,-15.901792,10.757995,-10.618059
10.802466,3.1990976,-33.234554,-1.6130316
10.751809,3.207422,-33.23738,-1.6261756
10.789325,3.197529,-33.238102,-1.6419319
10.735368,3.171569,-33.24512,-1.6685709
10.77861,3.1957228,-33.253872,-1.7494303
10.781108,3.1812296,-33.270878,-1.901086
10.817714,3.1453395,-33.25341,-2.1832414
10.940743,3.1453404,-33.106255,-2.6995683
30.631708,9.821087,21.673279,3.0671403
30.76774,9.871195,21.66943,3.0585532
30.549213,9.862905,21.660322,3.0412083
30.691734,9.855364,21.639404,2.99653
30.702986,9.871222,21.557024,2.8291652
30.61313,9.853266,21.42969,2.5724757
30.630774,9.749551,21.297419,2.3179743
30.598732,9.694654,21.06889,1.9304191
